--------------------
BDMEP - INMET
--------------------
Estação           : SAO LUIS - MA (OMM: 82280)
Latitude  (graus) : -2.53
Longitude (graus) : -44.21
Altitude  (metros): 50.86
Estação Operante
Inicio de operação: 18/11/1924
Periodo solicitado dos dados: 01/01/1998 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82280;31/01/1998;1200;27.8;26;87;1006.4;;;10;
82280;31/01/1998;1800;28;26;85;1003.8;;;9;
82280;01/02/1998;0000;26;25.2;94;1005.3;;;5;
82280;01/02/1998;1200;28.8;24.8;72;1006.3;;;6;
82280;01/02/1998;1800;29.4;26.2;78;1004.3;;;6;
82280;02/02/1998;0000;26;25;92;1005.6;;;2;
82280;02/02/1998;1200;28;25.4;81;1005.5;;;4;
82280;02/02/1998;1800;30.8;26;68;1003.1;;;6;
82280;03/02/1998;0000;25.4;24.4;92;1004.5;;;10;
82280;03/02/1998;1200;28.4;26.8;88;1004.8;;;7;
82280;03/02/1998;1800;31.2;27;72;1001.3;;;7;
82280;04/02/1998;0000;26.6;24.8;86;1004.4;;;10;
82280;04/02/1998;1200;29.6;26;75;1003.9;;;6;
82280;04/02/1998;1800;33;26;58;1001.8;;;2;
82280;05/02/1998;0000;27;26;92;1003.3;;;2;
82280;05/02/1998;1200;30;26;73;1004.7;;;1;
82280;05/02/1998;1800;34;27;58;1002.2;;;0;
82280;06/02/1998;0000;28.4;26.6;87;1003.8;;;1;
82280;06/02/1998;1200;30;26.6;77;1005.8;;;3;
82280;06/02/1998;1800;33.2;27.9;67;1004;;;3;
82280;07/02/1998;0000;28;26.2;87;1007.1;;;2;
82280;07/02/1998;1200;29;25.6;76;1006.7;;;8;
82280;07/02/1998;1800;32.2;27;67;1004.7;;;3;
82280;08/02/1998;0000;27.6;26.4;91;1006.3;;;4;
82280;08/02/1998;1200;30;26;73;1005.7;;;8;
82280;08/02/1998;1800;32.8;26.8;63;1003.9;;;4;
